,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube","Unique Instructions"
,"7"":32 oz:27021-1","7"" Strawberry Cheesecake",9.50,"603812270212",,"1 / 32 oz",,
,"7"":32 oz:27021-6","7"" Strawberry Cheesecake (6/cs)",36.90,"10603812270219","13.5","6 / 32 oz",".75",
,"7"":32 oz:27023-1","7"" Espresso Cheesecake",9.50,"603812270236",,"1 / 32 oz",,
,"7"":32 oz:27023-6","7"" Espresso Cheesecake (6/cs)",36.90,"10603812270233","13.5","6 / 32 oz",".75",
,"7"":32 oz:27025-1","7"" Cranberry Orange Walnut Cheesecake",9.50,"603812270250",,"1 / 32 oz",,
,"7"":32 oz:27025-6","7"" Cranberry Orange Walnut Cheesecake (6/cs)",36.90,"10603812270257","13.5","6 / 32 oz",".75",
,"7"":32 oz:27029-1","7"" Turtle Cheesecake",9.50,"603812270298",,"1 / 32 oz",,
,"7"":32 oz:27029-6","7"" Turtle Cheesecake (6/cs)",36.90,"10603812270295","13.5","6 / 32 oz",".75",
,"7"":32 oz:27030-1","7"" ""No Sugar Added"" New York Cheesecake",9.50,"603812270304",,"1 / 32 oz",,
,"7"":32 oz:27030-6","7"" ""No Sugar Added"" New York Cheesecake (6/cs)",39.12,"10603812270301","13.5","6 / 32 oz",".75",
,"7"":32 oz:27031-1","7"" ""No Sugar Added"" Chocolate Truffle Cheesecake",9.50,"603812270311",,"1 / 32 oz",,
,"7"":32 oz:27031-6","7"" ""No Sugar Added"" Chocolate Truffle Cheesecake (6/cs)",39.12,"10603812270318","13.5","6 / 32 oz",".75",
,"7"":32 oz:27032-1","7"" ""No Sugar Added"" Tuxedo Cheesecake",9.50,"603812270328",,"1 / 32 oz",,
